source,destination,bookings,flights,average_duration_minutes,duration_anomalies,route,traffic_share_percent
BOM,CCU,87,87,164.2439834688347,0,BOM → CCU,8.682634730538922
CCU,DEL,73,71,151.15851452145213,0,CCU → DEL,7.285429141716566
MAA,BLR,64,64,162.19164840425532,0,MAA → BLR,6.387225548902195
BLR,BOM,62,60,146.49478387096775,0,BLR → BOM,6.187624750499002
HYD,MAA,57,57,141.50620361445783,0,HYD → MAA,5.688622754491018
DEL,HYD,55,54,179.59036144578315,0,DEL → HYD,5.489021956087824
HYD,DEL,41,41,186.66685030864195,0,HYD → DEL,4.091816367265469
BOM,DEL,36,36,149.92736242424243,0,BOM → DEL,3.592814371257485
CCU,BOM,34,33,157.35599555555555,0,CCU → BOM,3.3932135728542914
DEL,BLR,30,29,172.70488446969696,0,DEL → BLR,2.9940119760479043
DEL,BOM,29,28,171.975,0,DEL → BOM,2.8942115768463075
BOM,MAA,28,27,168.2,0,BOM → MAA,2.7944111776447107
BOM,HYD,26,26,187.75,0,BOM → HYD,2.5948103792415167
HYD,BOM,26,25,119.13888888888889,1,HYD → BOM,2.5948103792415167
HYD,CCU,26,26,178.52631578947367,0,HYD → CCU,2.5948103792415167
HYD,BLR,26,25,172.75031041666668,0,HYD → BLR,2.5948103792415167
CCU,MAA,24,23,175.53349833333334,0,CCU → MAA,2.3952095808383236
DEL,MAA,24,23,173.78571428571428,0,DEL → MAA,2.3952095808383236
MAA,CCU,24,24,156.5,0,MAA → CCU,2.3952095808383236
MAA,DEL,24,24,164.83366555555554,0,MAA → DEL,2.3952095808383236
BOM,BLR,24,23,178.85411078431372,0,BOM → BLR,2.3952095808383236
DEL,CCU,24,24,147.875,0,DEL → CCU,2.3952095808383236
BLR,CCU,22,21,119.41935483870968,0,BLR → CCU,2.19560878243513
CCU,BLR,21,20,153.08717246376813,0,CCU → BLR,2.095808383233533
MAA,BOM,21,21,169.82160595238093,0,MAA → BOM,2.095808383233533
CCU,HYD,21,21,154.16161075268818,0,CCU → HYD,2.095808383233533
MAA,HYD,20,20,168.33333333333334,0,MAA → HYD,1.996007984031936
BLR,HYD,19,19,155.30769230769232,0,BLR → HYD,1.8962075848303395
BLR,DEL,17,17,158.9,0,BLR → DEL,1.6966067864271457
BLR,MAA,17,16,178.76,0,BLR → MAA,1.6966067864271457
